"","IR","WPSFD49207","WPSFD4131","CPIAUCSL","CPILFESL","CIS1010000000000I","GDPCTPI","PCEPILFE","OPHNFB","NPPTTL","ICSA","CCSA","NPPMNF","UNRATE","AWHAETP","AMTMNO","DAUTOSA","TOTALSL","WHLSLRMPCIMSA","RRSFS","RSFSXMV","INDPRO","TCU","INVCMRMTSPL","ACDGNO","ADXTNO","USARGDPQDSNAQ","DPCERE1Q156NBEA","PI","PCE","UMCSENT","GACDISA066MSFRBNY","USSLIND","GAFDFSA066MSFRBPHI","CSCICP03USM665S"
"2010-10-08",0.290459281268017,1.17942357789097,-1.3260681312771,1.42752531826757,1.70803449630368,1.66077022207901,-1.5544891024604,-1.39647839827775,-1.57352005373682,-0.96512739311072,0.335955993725817,0.530357539854876,-1.30441906084942,1.0947401750595,0.641061621065072,-0.395077595648911,-0.711232593377565,-1.2865305760275,1.23948805939589,-0.486387024983327,0.316544095515898,1.03480681483617,-0.510917983121518,-1.01142686207657,-0.213569470265915,-0.710149512163993,-0.183827833098945,0.858057812947847,1.52020117401404,-1.14330387015572,-1.85799397675423,-0.261441198037791,0.71599755808455,-0.361881656721792,0.0300530921808756
"2010-10-09",0.290339400699771,1.17835019750749,-1.32467601732928,1.42587509518089,1.70548931301864,1.65839587958428,-1.55246847198305,-1.39491060266489,-1.57143910123698,-0.964417786053379,0.335813688314243,0.530098870528331,-1.30307791685874,1.09382406138576,0.640717301063054,-0.3949037434568,-0.71082488682552,-1.28523049621606,1.23829152535838,-0.486158082522847,0.316411539881773,1.03399110381974,-0.510672733558401,-1.01064799217858,-0.213484477087753,-0.70974284271507,-0.183755503712874,0.857490677080011,1.51828600278404,-1.14229984619636,-1.85484820205629,-0.261334888945944,0.715585266178768,-0.361725875828666,0.0300416439495442
"2010-10-10",0.290219668453887,1.17727974313634,-1.3232882795686,1.42423058315908,1.70295547603056,1.65603169359893,-1.55045570238263,-1.39334807680879,-1.56936638473862,-0.963709742303074,0.335671563600896,0.529840579378115,-1.30174090206407,1.09291024434656,0.640373535393861,-0.394730120598687,-0.710417880769382,-1.28393435070698,1.23709845068704,-0.485929463098697,0.316279150648718,1.03317731926541,-0.510427836887466,-1.00987091932311,-0.213399585306055,-0.709336871266401,-0.183683259639089,0.856924664556222,1.51637805318672,-1.14129846339142,-1.85171835461044,-0.261228709441012,0.715173685843804,-0.361570295962477,0.0300302087913015
"2010-10-11",0.290100084224745,1.17621220150691,-1.32190489511377,1.42259174933526,1.70043290128547,1.65367759191783,-1.5484507428206,-1.39179079125244,-1.56730185005561,-0.963003256127513,0.335529619203653,0.529582665483514,-1.30040799531891,1.09199871436122,0.640030322571485,-0.394556726570762,-0.71001157320526,-1.2826421196957,1.23590881874357,-0.485701165951828,0.316146927468851,1.03236545360151,-0.510183292263116,-1.00909563660971,-0.213314794719365,-0.708931595823276,-0.183611100710007,0.856359771672515,1.51447727994935,-1.14029971018066,-1.84860430046598,-0.261122659259923,0.71476281503491,-0.3614149166912,0.0300187866812855
"2010-10-12",0.289980647707604,1.17514755943267,-1.32052584125065,1.42095856110674,1.69792150559856,1.65133350305246,-1.54645354291758,-1.39023871676881,-1.56524544349959,-0.962298321823788,0.335387854741523,0.529325127926947,-1.29907917562803,1.09108946190495,0.63968766111549,-0.394383560870763,-0.709605962137281,-1.28135378351697,1.23472261300146,-0.485473190325687,0.316014869995308,1.03155549929795,-0.509939098842592,-1.008322137175,-0.213230105126786,-0.708527014398952,-0.183539026758506,0.855795994742001,1.51258363819553,-1.13930357507459,-1.84550590724408,-0.261016738140356,0.71435265171556,-0.36125973758411,0.0300073775947003
"2010-10-13",0.289861358598602,1.17408580381056,-1.31915109543067,1.41933098613231,1.69542120664264,1.6489993562218,-1.54446405274794,-1.38869182435861,-1.56319711187411,-0.961594933718183,0.335246269834639,0.529067965793959,-1.29775442214612,1.09018247750838,0.639345549550986,-0.394210622997972,-0.70920104557755,-1.28006932264354,1.23353981704508,-0.485245535466207,0.315882977882238,1.03074744886598,-0.509695255785955,-1.00755041419236,-0.213145516327978,-0.708123125014622,-0.183467037617923,0.855233330094765,1.51069708344077,-1.13831004665386,-1.84242304411414,-0.26091094582073,0.713943193857398,-0.361104758211775,0.0299959815068161
"2010-10-14",0.289742216594749,1.26567566025515,-1.29823400745696,1.41770899232954,1.69293192293688,1.64667508134336,-1.54248222283464,-1.38715008524796,-1.5611568024689,-0.96089308616598,0.198690593719648,0.505320656387215,-1.29643371417644,1.08927775175718,0.6390039864086,-0.394037912453204,-0.708796821546105,-1.27878871768499,1.23236041456869,-0.485018200621791,0.3157512507848,1.02994129485784,-0.509451762256075,-1.00678046087173,-0.213061028123159,-0.707719925699364,-0.183395133122052,0.854671774077771,1.50881757158809,-1.13731911356875,-1.83935558177058,-0.260805282040208,0.713534439440204,-0.360949978146051,0.0299845983929684
"2010-10-15",0.28962322139393,1.26442796932796,-1.2969132007509,1.49451212966983,1.77009087885102,1.6443606090243,-1.540508004144,-1.38561347088615,-1.55912446305411,-0.960192773551272,0.198612343468761,0.505080286284469,-1.2951170311694,1.08837527529164,0.63866297022445,-0.393865428738807,-0.708393288070878,-1.27751194938642,1.78776656736402,-0.417325800780305,0.672957520945912,1.02913702986651,-0.509208617418622,-1.00601227045929,-0.212976640313099,-0.707317414490112,-0.183323313105142,0.854111323054754,1.50694505892369,-1.1363307645386,-1.83630339241008,-0.260699746538693,0.713126386451848,-0.360795396960081,0.0299732282285585
"2010-10-16",0.289504372694896,1.26318396190529,-1.29559641812374,1.49268304371205,1.76732291952533,1.64205587055278,-1.53854134808065,-1.38408195294345,-1.55710004187472,-0.959493990286771,0.198534185600273,0.504840258928275,-1.29380435272128,1.08747503880625,0.638322499540119,-0.39369317135865,-0.707990443187654,-1.27623899862732,1.78492851808946,-0.417140274049587,0.672587302987519,1.02833464652538,-0.508965820442049,-1.0052458362373,-0.212892352699121,-0.706915589431605,-0.183251577401897,0.85355197340613,1.50507950211268,-1.13534498835126,-1.8332663497092,-0.289776130287497,0.712719032888248,-0.360641014228283,0.0299618709890529
"2010-10-17",0.289385670197261,1.26194361989719,-1.29428363918221,1.49086065848104,1.76456790720685,1.63976079788936,-1.53658220648248,-1.3825555033089,-1.55508348764504,-0.958796730813624,0.198456119932544,0.504600573504761,-1.29249565857285,1.08657703304933,0.63798257290263,-0.393521139818123,-0.707588284940034,-1.27496984642028,1.78210394457331,-0.416954994564288,0.672217695500019,1.02753413750804,-0.508723370497587,-0.935740906758921,-0.212808165083099,-0.706514448576354,-0.183179925847474,0.852993721528889,1.50322085819486,-1.13436177386259,-1.83024432880243,-0.289657299092643,0.151832156376993,-0.360486829526351,0.0299505266499831
