"","IR","WPSFD49207","WPSFD4131","CPIAUCSL","CPILFESL","CIS1010000000000I","GDPCTPI","PCEPILFE","OPHNFB","NPPTTL","ICSA","CCSA","NPPMNF","UNRATE","AWHAETP","AMTMNO","DAUTOSA","TOTALSL","WHLSLRMPCIMSA","RRSFS","RSFSXMV","INDPRO","TCU","INVCMRMTSPL","ACDGNO","ADXTNO","USARGDPQDSNAQ","DPCERE1Q156NBEA","PI","PCE","UMCSENT","GACDISA066MSFRBNY","USSLIND","GAFDFSA066MSFRBPHI","CSCICP03USM665S"
"2010-09-13",0.146463625208275,1.02005185831213,0.835113894717207,1.39052183408771,1.69299286981651,1.7236566968745,-1.60771843196154,-1.47748807705574,-1.62839000391482,-1.04289064834238,0.443460286921047,0.623931971516936,-1.36132331129552,1.11841864237745,0.222263841249645,-0.561138432642238,-0.826629621728312,-1.47414349167001,1.27057678182445,-0.626012527261999,-0.0338559050572115,1.01814654271191,-0.59373727435408,-1.10060847516666,-0.309144998923266,-0.757254568609907,-0.185664294048983,0.87261249265779,1.32631357814465,-1.2065267252928,-0.363536443480461,1.38332753596539,1.70667928998581,-0.200306389434276,0.162564952058538
"2010-09-14",0.146405581233029,1.01924417324031,0.834563802280659,1.38893939010515,1.69045470992883,1.72100267370353,-1.6054832955445,-1.47566389341425,-1.62608395384864,-1.04204582105272,0.443254372623566,0.623595597774258,-1.35981648081496,1.11744182668852,0.222173345016936,-0.560852121774105,-0.826089640254314,-1.47232907465901,1.26928800807645,-0.49198057330516,0.31977627378881,1.01734189991673,-0.593425653180481,-1.09966408270832,-0.309013585970233,-0.756792195619363,-0.185589776010279,0.872016017290425,1.32489386268864,-1.20537712632609,-0.363376744730673,1.38176397587053,1.70408987565851,-0.200225555059578,0.162500212957063
"2010-09-15",0.293258187678213,1.0184384042241,0.834014795729039,1.38736233767303,1.68792793391225,1.7183608749786,-1.60325745743259,-1.47384645132743,-1.6237876752838,-1.04120304410994,0.443048744940441,0.623259767595583,-1.35831464412833,1.11646756661212,0.222082959237812,-0.560566248796614,-0.82555071586374,-1.47052134239331,1.26800314903866,-0.491743643581351,0.319639617450282,1.05411793318644,-0.516658109565638,-1.09872211775414,-0.308882340473643,-0.756330668761025,-0.185515347627996,0.871420763727572,1.32347869766489,-1.20423080799958,-0.363217256281753,-0.263922689594535,1.70151221415045,-0.200144818472666,0.162435551140172
"2010-09-16",0.29313480926794,1.20380619831013,-1.35785034822387,1.38579064624328,1.68541245692243,1.71573120714199,-1.6010408533331,-1.47203570937156,-1.62150109940434,-1.04036230923319,0.262756934446209,0.615151231215455,-1.35681777371175,1.11549585102309,0.221992683687757,-0.560280812594553,-0.825012845111682,-1.46872025392487,1.26672218493134,-0.491507055887858,0.319503136177473,1.05325572348194,-0.516404503391608,-1.02903110407096,-0.308751262078127,-0.755869985457017,-0.18544100872249,0.870826727803223,1.32206805881566,-1.20308775473837,-0.363057977672501,-0.263813325636128,0.725252252812698,-0.200064179476531,0.162370966454215
"2010-09-17",0.293011586460195,1.20266490882008,-1.35635580982342,1.46356042680027,1.76426309365881,1.71311357763532,-1.59883341957393,-1.47023162647842,-1.6192241580709,-1.03952360818834,0.262648200347136,0.614822953691762,-1.35532584225325,1.11452666886397,0.221902518142898,-0.559995812056682,-0.824476024568932,-1.46692576865592,1.26544509611442,-0.491270809402449,0.319366829596887,1.0523956265841,-0.516151270369753,-1.02821087508267,-0.308620350429373,-0.755410143140449,-0.185366759114619,0.870233905371232,1.32066192206388,-1.20194795107089,-0.362898908443135,-0.263704097527911,0.72482377184198,-0.365200271888461,0.162306458745969
"2010-09-18",0.29288851892816,1.20152686005248,-1.35486619670001,1.46178218031294,1.76145854916518,1.71050789488591,-1.596635093096,-1.44901149006191,-1.61695678381214,-1.03868693278771,0.262539601133831,0.614495201274757,-1.35383882265067,1.11356000914443,0.221812462379994,-0.559711246075714,-0.823940250821886,-1.46513784633516,1.26417186308616,-0.491034903305658,0.319230697336147,1.05153763387726,-0.51589840958577,-1.02739260486277,-0.308489605174122,-0.754951139255351,-0.185292598625742,0.86964229230519,1.47803850931652,-1.18260209843439,-0.36274004813528,-0.263595004988851,0.724396049594792,-0.365040167277212,0.162242027862637
"2010-09-19",0.292765606345976,1.20039203669833,-1.35338148185929,1.46001040134264,1.75866733947005,1.70791406829332,-1.59444581144557,-1.4472759760049,-1.61469890981641,-1.03785227488966,0.262431136527628,0.614167972565823,-1.35235668800963,1.11259586094079,0.221722516176439,-0.559427113548299,-0.823405520472455,-1.46335644705396,1.26290246648197,-0.490799336780768,0.319094739023982,1.05068173679488,-0.515645920128487,-1.02657628562674,-0.308359025960157,-0.754492971256619,-0.185218527077721,0.86905188449831,1.47621976942734,-1.18150575659044,-0.362581396291965,-0.263486047738724,0.723969083834312,-0.364880273074584,0.162177673651846
"2010-09-20",0.292642848388741,1.19926042354969,-1.35190163851363,1.45824505077845,1.75588935923359,1.70533200821612,-1.59226551276691,-1.44554668444018,-1.61245046992343,-1.0370196263983,0.262322806250671,0.61384126617155,-1.35087941164143,1.11163421339549,0.22163267931026,-0.559143413375007,-0.822871830137973,-1.46158153124263,1.26163688707313,-0.490564109013807,0.31895895429023,1.0498279268192,-0.515393801089854,-1.0257619096333,-0.308228612436308,-0.75403563660995,-0.185144544292913,0.868462677863301,1.47440772846994,-1.1804124589861,-0.362422952457617,-0.26337722549812,0.723542872332941,-0.364720588820075,0.162113395961646
"2010-09-21",0.292520244732505,1.19813200549883,-1.35042664007999,1.45648608983978,1.75312450427728,1.70276162595887,-1.59009413579486,-1.44382357827143,-1.61021139861619,-1.03618897926316,0.262214610025902,0.613515080703712,-1.34940696706109,1.11067505571656,0.22154295156011,-0.558860144460306,-0.822339176451111,-1.4598130596667,1.26037510576558,-0.490329219193531,0.318823342765829,1.0489761954808,-0.515142051564926,-1.02494946918413,-0.308098364252442,-0.753579132791788,-0.185070650094173,0.867874668332254,1.47260234542,-1.17932219155796,-0.362264716178058,-0.263268537988434,0.723117412872254,-0.364561114054592,0.162049194640509
"2010-09-22",0.29239779505427,1.19700676753735,-1.34895646017801,1.45473348007277,1.75037267156751,1.70020283375931,-1.58793161984766,-1.44210662071119,-1.60798163101287,-1.03536032547884,0.262106547577064,0.613189414779248,-1.34793932798532,1.10971837717713,0.221453332705273,-0.558577305712548,-0.821807556059782,-1.45805099342331,1.25911710359872,-0.490094666511414,0.318687904082817,1.04812653435834,-0.514890670651851,-1.0241389566235,-0.307968281059462,-0.753123457289263,-0.18499684430485,0.86728785185652,1.47080357960409,-1.17823494033344,-0.362106687000494,-0.263159984931866,0.722692703242949,-0.364401848320449,0.161985069537325
"2010-09-23",0.29227549903198,1.1958846947554,-1.34749107262799,1.45298718334679,1.74763375919949,1.69765554477583,-1.58577790481978,-1.44039577527761,-1.60576110285901,-1.03453365708471,0.186766140193293,0.605077745640237,-1.34647646833055,1.10876416711491,0.221363822525653,-0.558294896043951,-0.821276965627056,-1.45629529393759,1.2578628617442,-0.489860450161633,0.318552637874324,1.04727893507814,-0.514639657451854,-1.02333036433805,-0.307838362509302,-0.752668607600132,-0.184923126748785,0.866702224406598,1.46901139069576,-1.17715069142998,-0.337517793472341,-0.263051566051419,0.722268741244802,-0.364242791161356,0.161921020501405
"2010-09-24",0.292153356344526,1.19476577234078,-1.34603045144891,1.45124716185094,1.74490766638134,1.69511967307502,-1.58363293117496,-1.43869100579115,-1.6035497505197,-1.03370896616458,0.186691727574921,0.604759449488028,-1.34501836221099,1.10781241493172,0.22127442080178,-0.558012914370579,-0.820747401831074,-1.45454592295911,1.25661236150471,-0.489626569341064,0.31841754377457,1.0464333893139,-0.514389011069228,-1.02252368475641,-0.307708608254923,-0.752214581232724,-0.184849497250312,0.866117781972012,1.46722573871181,-1.17606943105429,-0.337373038365976,-0.262943281070891,0.721845524686618,-0.364083942122418,0.161857047382474
"2010-09-25",0.292031366671733,1.19364998557819,-1.34457457085654,1.44951337809057,1.74219429341856,1.69259513361952,-1.58149663993925,-1.43699227637137,-1.60134751097192,-1.03288624484637,0.186617403832567,0.604441655220035,-1.34356498393672,1.10686311009295,0.221185127314802,-0.557731359612326,-0.820218861364953,-1.45280284255841,1.25536558431288,-0.489393023249261,0.318282621418858,1.04558988878628,-0.514138730611317,-1.02171891034896,-0.307579017950309,-0.75176137570588,-0.184775955634253,0.865534520561202,1.46544658400852,-1.17499114550169,-0.337228469365763,-0.262835129714877,0.721423051386182,-0.363925300750126,0.161793150030673
"2010-09-26",0.291909529694366,1.19253731984834,-1.34312340526149,1.44778579488399,1.73949354169869,1.69008184225608,-1.57936897269421,-1.4352995514338,-1.599154321797,-1.03206548530182,0.186543168789448,0.604124361518527,-1.34211630801177,1.10591624212712,0.221095941846486,-0.5574502306929,-0.819691340936709,-1.45106601512352,1.25412251173006,-0.489159811088451,0.318147870443576,1.04474842526262,-0.513888815188502,-1.02091603362752,-0.307449591250463,-0.751308988548899,-0.184702501725917,0.864952436201405,1.46367388727792,-1.17391582115526,-0.337084086073229,-0.262727111708765,0.721001319170211,-0.363766866592357,0.161729328296559
"2010-09-27",0.291787845094117,1.19142776062721,-1.34167692926735,1.44606437535899,1.73680531367626,1.68757971570372,-1.57724987157022,-1.43361279568677,-1.5969701211732,-1.03124667974613,0.186469022269274,0.60380756707061,-1.34067230913224,1.10497180062535,0.221006864179213,-0.557169526539803,-0.819164837269163,-1.44933540335658,1.2528831254452,-0.488926932063521,0.318013290486185,1.04390899055657,-0.513639263914191,-1.02011504714503,-0.307320327811405,-0.750857417301479,-0.1846291353511,0.864371524938545,1.46190760954419,-1.17284344448524,-0.336939888091091,-0.262619226778733,0.720580325874314,-0.363608639198362,0.161665582031098
"2010-09-28",0.291666312553609,1.19032129348525,-1.34023511766879,1.44434908294965,1.73412951285802,1.68508867154217,-1.57513927923985,-1.43193197412831,-1.59479484786836,-1.03042982043773,0.186394964096244,0.603491270568206,-1.33923296218445,1.10402977524092,0.220917894095979,-0.556889246084316,-0.818639347099859,-1.44761097027041,1.2516474072737,-0.488694385382007,0.317878881185221,1.04307157652779,-0.513390075904804,-1.0193159434953,-0.307191227290166,-0.75040665951366,-0.184555856336081,0.863791782837116,1.46014771216003,-1.17177400204823,-0.33679587502326,-0.262511474651743,0.720160069342935,-0.363450618118763,0.161601911085669
"2010-09-29",0.29154493175639,1.18921790408653,-1.33879794544975,1.44263988139301,1.73146604378834,1.68260862820047,-1.57303713891136,-1.43025705204314,-1.59262844123273,-1.02961489967787,0.186320994095047,0.60317547070803,-1.33779824224312,1.10309015568876,0.22082903138039,-0.556609388261479,-0.818114867180979,-1.44589267918527,1.25041533915631,-0.488462170254079,0.31774464218029,1.04223617508157,-0.513141250279759,-1.0185187153127,-0.307062289344785,-0.749956712745771,-0.184482664507623,0.863213205980074,1.45839415680313,-1.17070748048651,-0.336652046474828,-0.262403855055542,0.719740547429314,-0.363292802905551,0.16153831531206
"2010-09-30",0.291423702386928,1.18811757818803,-1.33736538778159,1.44093673472587,1.72881481203496,1.68013950494574,-1.57094339432224,-1.42858799499963,-1.59047084119184,-1.02880190981042,0.337100988385776,0.56385934459714,-1.33636812456952,1.10215293174499,0.220740275816662,-0.55632995201008,-0.81759139427926,-1.44418049372554,1.24918690315801,-0.488230285892535,0.317610573112059,1.04140277816853,-0.51289278616146,-1.01772335527187,-0.306933513634305,-0.749507574568373,-0.184409559692967,0.862635790468723,1.45664690547264,-1.16964386652735,-0.336508402052067,-0.26229636771866,0.719321757995439,-0.363135193112076,0.161474794562467
"2010-10-01",0.291302624130609,1.18702030163882,-1.33593742002132,1.43923960728162,1.7261757241749,1.67768122187214,-1.56885798973297,-1.40760304454052,-1.58832198823951,-1.02799084322148,0.336957223494886,0.563574730467075,-1.33494258460972,1.10121809324647,0.220651627189616,-0.556050936272631,-0.714106323156759,-1.44247437781648,1.24796208146693,-0.487998731512787,0.317476673622259,1.04057137778431,-0.512644682675284,-1.01692985608745,-0.306804899818769,-0.749059242562204,-0.184336541719835,0.862059532422607,1.53381346659672,-1.15040697636452,-1.88047195598642,-0.262189012370401,0.718903698911999,-0.362977788293044,0.161411348689492
"2010-10-02",0.291181696673735,1.18592606037935,-1.33451401770978,1.43754846368707,1.72354868778063,1.67523369989002,-1.5667808699207,-1.40599751601556,-1.58618182343096,-1.02718169233914,0.336813642400422,0.563290546968948,-1.3335215979928,1.10028563009031,0.220563085284679,-0.555772339995355,-0.713693656342283,-1.44077429568107,1.24674085639323,-0.48776750633285,0.317342943353675,1.03974196596919,-0.512396938949568,-1.0161382105138,-0.306676447559216,-0.748611714318124,-0.184263610416426,0.861484427979397,1.53184644204426,-1.14938413457905,-1.87721080269459,-0.262081788740846,0.718486368058341,-0.362820588004512,0.161347977546144
"2010-10-03",0.291060919703516,1.18483484044061,-1.33309515656991,1.4358632688594,1.72093361140649,1.67279686071521,-1.56471198017314,-1.40439747008645,-1.58405028837602,-1.02637444963314,0.336670244711061,0.563006793017774,-1.33210514052908,1.09935553223342,0.22047464988788,-0.555494162128169,-0.713281704278926,-1.43908021183684,1.24552321036805,-0.487536609573331,0.317209381950148,1.03891453480785,-0.512149554115596,-1.01534841134471,-0.30654815651768,-0.748164987437061,-0.184190765611412,0.860910473294787,1.52988696751851,-1.14836401689732,-1.87396656040297,-0.26197469656085,0.718069763322421,-0.36266359180388,0.161284680985833
"2010-10-04",0.290940292908073,1.18374662794347,-1.33168081250499,1.43418398800306,1.7183304045753,1.67037062685855,-1.56265126628253,-1.40280287561914,-1.58192732523242,-0.967981570095733,0.336527030036644,0.562723467532389,-1.30982535707771,1.09842778969208,0.220386320785847,-0.395775307888069,-0.712870464905505,-1.43739209109272,1.24430912594247,-0.487306040457418,0.317075989056564,1.03808907642899,-0.511902527307586,-1.01456045141314,-0.213910460992061,-0.711783210137832,-0.184118007133943,0.86033766454238,1.52793499484237,-1.1473466112481,-1.87073908345753,-0.261867735562033,0.717653882600762,-0.362506799249892,0.161221458862373
"2010-10-05",0.290819815976428,1.18266140909787,-1.33027096159694,1.4325105866068,1.71573897776524,1.66795492161548,-1.56059867453964,-1.40121370172652,-1.57981287669922,-0.967265651892767,0.336383997988175,0.562440569435437,-1.30846748176207,1.09750239254143,0.220298097765807,-0.395600533290686,-0.712459936169151,-1.43570989854606,1.24309858578641,-0.487075798210871,0.316942764318856,1.03726558300503,-0.511655857662678,-1.01377432359093,-0.213825060202201,-0.711373728579871,-0.184045334813637,0.859765997913588,1.52599047626799,-1.14633190563492,-1.8675282279545,-0.261760905476786,0.717238723798411,-0.362350209902622,0.0300875155630191
"2010-10-06",0.290699488598507,1.18157917020213,-1.32886558010461,1.43084303044064,1.7131592423969,1.6655496690559,-1.55855415172792,-1.39962991776595,-1.57770688601033,-0.966551320223779,0.336241148177815,0.562158097653348,-1.30711382176994,1.09657933091511,0.220209980615584,-0.395425990058146,-0.712050116025261,-1.43403359957952,1.24189157268763,-0.486845882062006,0.316809707383997,1.03644404675181,-0.51140954432092,-1.01299002078854,-0.213739761620274,-0.710964953081565,-0.183972748480585,0.859195469617518,1.52405336447194,-1.14531988813545,-1.86433385171348,-0.261654206038262,0.71682428482889,-0.362193823323475,0.0300760279625846
"2010-10-07",0.290579310465131,1.18049989764221,-1.3274646444621,1.42918128555295,1.71059111082055,1.66315479401412,-1.55651764511769,-1.39805149333675,-1.57560929692805,-0.965838569236971,0.336098480218876,0.530616588281613,-1.30576435533537,1.09565859500473,0.220121969123593,-0.395251677680385,-0.711641002437463,-1.2878346100864,1.24068806955067,-0.48661629124169,0.316676817899997,1.03562445992828,-0.511163586425257,-1.01220753595479,-0.213654565042562,-0.710556881615898,-0.183900247965345,0.858626075880875,1.52212361255033,-1.14431054690097,-1.86115581425092,-0.261547636980372,0.716410563614155,-0.362037639075182,0.030064553510224
